date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:16:32	50/50	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Dec%202024%2017:46:32%20GMT	https://demo.casethemes.net/robots.txt		(from )
23:16:33	194458/194458	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2017:46:33%20GMT	https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/index.html	(from )
23:16:34	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85e-e7d0%22	https://demo.casethemes.net/aimo/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.15.3	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min52d5.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:34	898/898	---MC-	200	added ('OK')	application/rss+xml	etag:%22a90ffe5056d4f3bee22979ab7c144c00%22	https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/feed/	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/feed/index.html	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:34	361/361	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85e-169%22	https://demo.casethemes.net/aimo/wp-content/plugins/case-addons/assets/css/pxl-main-css.min.css?ver=1.0.0	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/case-addons/assets/css/pxl-main-css.min8a54.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:35	2352/2352	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85e-930%22	https://demo.casethemes.net/aimo/wp-content/plugins/contact-form-7/includes/css/contact-form-7.min.css?ver=6.0.1	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/contact-form-7/includes/css/contact-form-7.min37ad.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:35	617/617	---MCZ	200	added ('OK')	text/css	etag:W/%22676b5e19-269%22	https://demo.casethemes.net/aimo/wp-content/plugins/envato-purchase-link//css/purchase-link-css.min.css?ver=1.0.0	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/envato-purchase-link/css/purchase-link-css.min8a54.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:35	3749/3749	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85e-ea5%22	https://demo.casethemes.net/aimo/wp-content/plugins/revslider/public/css/sr7css.min.css?ver=6.7.16	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/revslider/public/css/sr7css.min51c0.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:36	17684/17684	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85f-4514%22	https://demo.casethemes.net/aimo/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.min.css?ver=9.4.3	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.minceb1.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
23:16:36	7426/7426	---MCZ	200	added ('OK')	text/css	etag:W/%226756b85f-1d02%22	https://demo.casethemes.net/aimo/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.min.css?ver=9.4.3	C:/My%20Web%20Sites/blogs/demo.casethemes.net/aimo/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.minceb1.css	(from https://demo.casethemes.net/aimo/how-our-ai-services-can-transform-your-business/)
